Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
汉仪火柴体简 (Regular),汉仪火柴体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪家书繁 (Regular),汉仪家书繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪家书简 (Regular),汉仪家书简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪锦昌体简 (Regular),汉仪锦昌体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪劲楷简 (Regular),汉仪劲楷简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪君黑-35W (Regular),汉仪君黑-35W,Regular,汉仪君黑,35W,Version 5.00,HNYI,Regular,5 (Medium),100 (Thin),34,10646,10256
汉仪君黑-45W (Regular),汉仪君黑-45W,Regular,汉仪君黑,45W,Version 5.00,HNYI,Regular,5 (Medium),200 (Extra-light),34,10646,10256
汉仪君黑-55W (Regular),汉仪君黑-55W,Regular,汉仪君黑,55W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10646,10256
汉仪君黑-65W (Regular),汉仪君黑-65W,Regular,汉仪君黑,65W,Version 5.00,HNYI,Regular,5 (Medium),500 (Medium),34,10646,10256
汉仪君黑-75W (Regular),汉仪君黑-75W,Regular,汉仪君黑,75W,Version 5.00,HNYI,Regular,5 (Medium),700 (Bold),34,10646,10256
汉仪君黑-85W (Regular),汉仪君黑-85W,Regular,汉仪君黑,85W,Version 5.00,HNYI,Regular,5 (Medium),900 (Black),34,10646,10256
汉仪楷体S (Regular),汉仪楷体S,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),37,28681,28682
汉仪楷体繁 (Regular),汉仪楷体繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,8148,8192
汉仪楷体简 (Regular),汉仪楷体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,8148,8192
汉仪乐喵体W (Regular),汉仪乐喵体W,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10317,10318
汉仪乐喵体繁 (Regular),汉仪乐喵体繁,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7986,7987
汉仪乐喵体简 (Regular),汉仪乐喵体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪李政恩小楷W (Regular),汉仪李政恩小楷W,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),22,9705,9706
汉仪李政恩小楷繁 (Regular),汉仪李政恩小楷繁,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),21,7291,7292
汉仪李政恩小楷简 (Regular),汉仪李政恩小楷简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),21,7291,7292
汉仪力量黑简 (Regular),汉仪力量黑简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪立黑简 (Regular),汉仪立黑简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪良品线粗简 (Regular),汉仪良品线粗简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),33,7896,7897
汉仪良品线简 (Regular),汉仪良品线简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),33,7896,7897
汉仪凌波体繁 (Regular),汉仪凌波体繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪凌波体简 (Regular),汉仪凌波体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪菱心体繁 (Regular),汉仪菱心体繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪菱心体简 (Regular),汉仪菱心体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪六字黑简 (Regular),汉仪六字黑简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),16,7259,7260
汉仪萝卜体简 (Regular),汉仪萝卜体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪漫步体繁 (Regular),汉仪漫步体繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪漫步体简 (Regular),汉仪漫步体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪咪咪体繁 (Regular),汉仪咪咪体繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪咪咪体简 (Regular),汉仪咪咪体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪喵魂体W (Regular),汉仪喵魂体W,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),19,9706,9707
汉仪喵魂体繁 (Regular),汉仪喵魂体繁,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),18,7286,7287
汉仪喵魂体简 (Regular),汉仪喵魂体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),18,7286,7287
汉仪南宫体简 (Regular),汉仪南宫体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
