Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
汉仪旗黑-45S (45S),汉仪旗黑-45S,45S,汉仪旗黑,45S,Version 5.01,HNYI,Regular,5 (Medium),200 (Extra-light),37,28873,28969
汉仪旗黑-50S (50S),汉仪旗黑-50S,50S,汉仪旗黑,50S,Version 5.01,HNYI,Regular,5 (Medium),300 (Light),37,28873,28969
汉仪旗黑-55S (55S),汉仪旗黑-55S,55S,汉仪旗黑,55S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28969
汉仪旗黑-60S (60S),汉仪旗黑-60S,60S,汉仪旗黑,60S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28969
汉仪旗黑-65S (65S),汉仪旗黑-65S,65S,汉仪旗黑,65S,Version 5.01,HNYI,Regular,5 (Medium),500 (Medium),37,28873,28969
汉仪旗黑-70S (70S),汉仪旗黑-70S,70S,汉仪旗黑,70S,Version 5.01,HNYI,Regular,5 (Medium),600 (Semi-bold),37,28873,28969
汉仪旗黑-75S (75S),汉仪旗黑-75S,75S,汉仪旗黑,75S,Version 5.01,HNYI,Regular,5 (Medium),700 (Bold),37,28873,28969
汉仪旗黑-80S (80S),汉仪旗黑-80S,80S,汉仪旗黑,80S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28969
汉仪旗黑-85S (85S),汉仪旗黑-85S,85S,汉仪旗黑,85S,Version 5.01,HNYI,Regular,5 (Medium),900 (Black),37,28873,28969
汉仪旗黑-90S (90S),汉仪旗黑-90S,90S,汉仪旗黑,90S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28969
汉仪旗黑-95S (95S),汉仪旗黑-95S,95S,汉仪旗黑,95S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28969
汉仪旗黑-105简繁 (105简繁),汉仪旗黑-105简繁,105简繁,汉仪旗黑,105简繁,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,10217,10313
汉仪旗黑X1-35W (35W),汉仪旗黑X1-35W,35W,汉仪旗黑X1,35W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X1-45W (45W),汉仪旗黑X1-45W,45W,汉仪旗黑X1,45W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X1-55W (55W),汉仪旗黑X1-55W,55W,汉仪旗黑X1,55W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X1-65W (65W),汉仪旗黑X1-65W,65W,汉仪旗黑X1,65W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X1-75W (75W),汉仪旗黑X1-75W,75W,汉仪旗黑X1,75W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X1-85W (85W),汉仪旗黑X1-85W,85W,汉仪旗黑X1,85W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X1-95W (95W),汉仪旗黑X1-95W,95W,汉仪旗黑X1,95W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X2-35W (35W),汉仪旗黑X2-35W,35W,汉仪旗黑X2,35W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X2-45W (45W),汉仪旗黑X2-45W,45W,汉仪旗黑X2,45W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X2-55W (55W),汉仪旗黑X2-55W,55W,汉仪旗黑X2,55W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X2-65W (65W),汉仪旗黑X2-65W,65W,汉仪旗黑X2,65W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X2-75W (75W),汉仪旗黑X2-75W,75W,汉仪旗黑X2,75W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X2-85W (85W),汉仪旗黑X2-85W,85W,汉仪旗黑X2,85W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X2-95W (95W),汉仪旗黑X2-95W,95W,汉仪旗黑X2,95W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X3-35W (35W),汉仪旗黑X3-35W,35W,汉仪旗黑X3,35W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X3-45W (45W),汉仪旗黑X3-45W,45W,汉仪旗黑X3,45W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X3-55W (55W),汉仪旗黑X3-55W,55W,汉仪旗黑X3,55W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X3-65W (65W),汉仪旗黑X3-65W,65W,汉仪旗黑X3,65W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X3-75W (75W),汉仪旗黑X3-75W,75W,汉仪旗黑X3,75W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X3-85W (85W),汉仪旗黑X3-85W,85W,汉仪旗黑X3,85W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X3-95W (95W),汉仪旗黑X3-95W,95W,汉仪旗黑X3,95W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X4-35W (35W),汉仪旗黑X4-35W,35W,汉仪旗黑X4,35W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X4-45W (45W),汉仪旗黑X4-45W,45W,汉仪旗黑X4,45W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X4-55W (55W),汉仪旗黑X4-55W,55W,汉仪旗黑X4,55W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X4-65W (65W),汉仪旗黑X4-65W,65W,汉仪旗黑X4,65W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X4-75W (75W),汉仪旗黑X4-75W,75W,汉仪旗黑X4,75W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X4-85W (85W),汉仪旗黑X4-85W,85W,汉仪旗黑X4,85W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑X4-95W (95W),汉仪旗黑X4-95W,95W,汉仪旗黑X4,95W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑Y1-35W (35W),汉仪旗黑Y1-35W,35W,汉仪旗黑Y1,35W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑Y1-45W (45W),汉仪旗黑Y1-45W,45W,汉仪旗黑Y1,45W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑Y1-55W (55W),汉仪旗黑Y1-55W,55W,汉仪旗黑Y1,55W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑Y1-65W (65W),汉仪旗黑Y1-65W,65W,汉仪旗黑Y1,65W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑Y1-75W (75W),汉仪旗黑Y1-75W,75W,汉仪旗黑Y1,75W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑Y1-85W (85W),汉仪旗黑Y1-85W,85W,汉仪旗黑Y1,85W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪旗黑Y1-95W (95W),汉仪旗黑Y1-95W,95W,汉仪旗黑Y1,95W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
